Filename,a,b
011005-722649.png,6.61,6.32
010029-713827.png,6.55,6.2
010431-720726.png,6.74,6.12
005557-722605.png,6.66,6.19
010533-721332.png,6.75,6.55
010255-713632.png,6.42,6.17
010931-713456.png,20.73,18.61
010441-713123.png,6.91,6.08
005820-713041.png,6.74,6.0
005703-721636.png,6.66,6.08
005622-715111.png,7.13,6.06
010708-714307.png,6.56,6.1
010321-721345.png,7.11,6.02
010557-714606.png,6.74,6.12
010143-723226.png,7.08,6.44
010147-723225.png,8.07,6.67
010204-722448.png,6.69,6.02
005518-714450.png,14.03,9.43
010652-721839.png,6.7,6.16
010809-720913.png,6.94,6.67
010222-712722.png,7.25,6.2
010821-714925.png,6.72,6.35
010020-714433.png,7.51,6.59
010741-715312.png,6.67,6.38
010405-724344.png,8.72,6.69
011035-720025.png,6.64,6.17
010756-712535.png,15.35,9.81
010935-713825.png,6.59,6.01
010525-722525.png,12.09,8.94
005429-720158.png,6.67,6.23
010851-715019.png,6.57,6.06
010958-713544.png,8.63,7.17
010043-712138.png,6.54,6.15
011050-721026.png,6.78,6.01
011048-721032.png,6.55,6.21
011053-721022.png,6.65,6.09
010530-721022.png,6.5,6.4
010633-714807.png,6.52,5.97
005600-720909.png,6.6,6.07
010721-713733.png,6.54,6.06
005904-720245.png,9.12,6.12
010750-714509.png,6.73,6.08
011103-720050.png,6.76,6.21
005757-715644.png,6.61,6.01
011016-713952.png,6.59,6.01
005756-715721.png,6.96,6.47
010509-712841.png,7.07,6.13
010918-720518.png,6.76,6.31
010153-715759.png,6.48,6.07
010803-712555.png,7.63,6.2
010803-712608.png,6.68,6.1
005902-722950.png,6.38,6.11
005859-722951.png,6.89,6.03
011000-720824.png,8.34,6.63
005737-715936.png,13.35,7.0
005743-715915.png,6.64,6.04
010808-713949.png,6.7,6.17
010806-713943.png,6.54,6.01
005813-713522.png,7.68,7.1
010216-723706.png,6.58,5.78
005523-721056.png,6.63,6.13
005527-721059.png,6.64,6.05
005853-720327.png,6.68,6.0
010713-715632.png,6.65,5.99
010901-713316.png,7.2,5.78
010348-712405.png,6.49,6.0
010914-722940.png,6.69,6.29
010530-721702.png,6.84,6.29
010016-712600.png,7.11,6.71
010109-723553.png,7.16,6.35
010436-722523.png,8.14,6.83
010700-720800.png,6.64,6.15
011115-715137.png,11.32,10.3
005912-723240.png,6.94,6.53
005824-720038.png,6.65,5.87
005820-720049.png,7.1,6.19
005822-720045.png,6.69,6.06
010332-712917.png,6.41,6.27
010927-722221.png,7.1,6.39
005730-723224.png,6.98,6.04
010139-714322.png,6.47,6.28
010611-721510.png,6.7,5.97
010634-713715.png,6.61,6.43
005750-723022.png,6.82,6.4
010830-714726.png,8.92,6.54
005849-713655.png,8.99,8.45
005534-721056.png,8.09,7.47
005540-721049.png,6.49,6.35
010729-712915.png,6.45,6.26
010445-722204.png,6.86,6.15
005954-721718.png,6.81,6.1
010856-721139.png,6.49,5.98
010648-714528.png,7.08,6.14
010917-722027.png,6.4,6.03
010915-722048.png,6.49,6.28
010916-722038.png,6.66,6.14
010913-722041.png,6.94,6.65
010954-720724.png,6.59,6.25
010436-720225.png,6.63,6.04
010058-713529.png,6.6,6.18
010320-715655.png,8.63,7.5
011035-722808.png,6.56,6.03
011045-722856.png,9.51,6.25
011038-722823.png,6.53,5.86
011043-722843.png,6.77,6.09
010536-722055.png,6.74,5.66
010654-720221.png,6.65,6.09
010031-723337.png,6.87,6.17
010708-721950.png,6.3,5.81
010246-721240.png,6.63,6.15
010841-712750.png,16.95,11.93
005842-722717.png,6.78,6.44
010440-714431.png,8.6,7.21
010815-712854.png,6.47,6.02
010647-723500.png,6.34,5.76
010538-722302.png,9.92,6.96
010228-722731.png,6.5,6.03
005905-722824.png,6.77,5.95
005811-723115.png,7.63,7.23
005815-723009.png,6.84,5.99
010507-723857.png,6.55,6.07
010505-723908.png,6.6,6.03
010641-715118.png,6.58,6.07
010227-715633.png,6.62,6.31
010135-713943.png,6.57,6.34
010253-724112.png,6.82,5.95
010328-723912.png,6.95,6.25
005908-714716.png,6.48,6.39
010307-714953.png,7.01,6.58
