subject_id,Filename,a,b,is_point
91319002,005614-714232.png,6.55,6.02,1.0
91319004,005935-720212.png,6.68,6.08,1.0
91319005,010046-722132.png,6.6,6.11,1.0
91319009,010726-721003.png,6.64,6.06,1.0
91319010,010753-720612.png,6.64,6.11,1.0
91319011,010819-714958.png,6.69,6.08,1.0
91319013,011001-713930.png,6.56,6.02,1.0
91319016,005738-715804.png,6.52,6.06,1.0
91319017,005758-715402.png,6.56,6.05,1.0
91319025,010107-722737.png,7.28,6.87,0.0
91319026,010110-715404.png,6.61,6.04,1.0
91319027,010116-714113.png,6.51,6.17,1.0
91319029,010304-721849.png,6.88,6.62,1.0
91319031,010354-721614.png,7.32,6.68,0.0
91319032,010448-715158.png,7.06,6.37,1.0
91319033,010619-714043.png,7.0,6.14,1.0
91319038,010811-714422.png,6.7,6.29,1.0
91319039,010814-715555.png,6.86,6.18,1.0
91319040,010920-721819.png,6.5,6.06,1.0
91319048,010027-721818.png,6.61,6.05,1.0
91319050,010151-724110.png,6.63,6.42,1.0
91319051,010203-722201.png,9.62,7.18,0.0
91319060,010511-722557.png,7.04,6.79,1.0
91319064,010614-720701.png,6.53,6.05,1.0
91319065,010625-714451.png,6.74,6.15,1.0
91319069,010645-722028.png,6.53,6.06,1.0
91319072,010857-715959.png,6.62,6.04,1.0
91319074,005507-715725.png,6.61,6.14,1.0
91319079,010126-721437.png,8.03,7.14,0.0
91319082,010149-714302.png,6.59,6.03,1.0
91319083,010209-720823.png,6.49,6.13,1.0
91319086,010320-714836.png,6.59,6.07,1.0
91319088,010427-715123.png,12.96,11.13,0.0
91319090,010446-724229.png,6.53,6.04,1.0
91319091,010512-715010.png,6.77,6.43,1.0
91319096,010803-720901.png,15.83,7.1,0.0
91319097,010845-714649.png,6.97,5.93,1.0
91319098,010854-720121.png,6.62,6.08,1.0
91319105,005636-714514.png,21.18,11.96,0.0
91319106,005641-720023.png,6.54,6.02,1.0
91319107,005723-720349.png,9.2,7.38,0.0
91319108,005733-714114.png,6.56,6.0,1.0
91319111,010021-724034.png,7.22,6.22,1.0
91319115,010203-723101.png,8.49,6.22,0.0
91319119,010355-712242.png,9.31,7.57,0.0
91319120,010429-723111.png,9.96,7.92,0.0
91319121,010435-713023.png,10.08,7.58,0.0
91319124,010637-723116.png,15.14,8.85,0.0
91319125,010741-715125.png,6.54,6.08,1.0
91319126,010745-720438.png,6.53,6.16,1.0
91319129,011008-721704.png,6.98,6.17,1.0
91319130,011108-722309.png,6.56,6.12,1.0
91319133,011143-720244.png,6.69,6.08,1.0
91319135,005536-715444.png,7.29,6.85,0.0
91319139,005834-712625.png,12.75,12.63,0.0
91319140,005843-722520.png,13.17,12.62,0.0
91319141,005913-715854.png,6.89,6.58,1.0
91319143,010025-714342.png,6.56,6.18,1.0
91319144,010104-722818.png,7.47,6.75,0.0
91319145,010142-720620.png,6.6,6.08,1.0
91319146,010207-722623.png,6.74,6.0,1.0
91319147,010350-713915.png,6.94,6.04,1.0
91319151,010431-722326.png,6.86,6.04,1.0
91319152,010447-722922.png,6.55,6.01,1.0
91319154,010603-722322.png,6.67,5.96,1.0
91319155,010608-713613.png,6.55,6.03,1.0
91319156,010714-722339.png,7.37,6.66,0.0
91319163,011107-721939.png,6.78,6.11,1.0
91319170,010047-714105.png,8.38,7.22,0.0
91319171,010120-714447.png,6.69,6.18,1.0
91319173,010200-721621.png,6.7,6.02,1.0
91319177,010236-712657.png,6.57,6.13,1.0
91319178,010347-722703.png,6.67,6.49,1.0
91319179,010407-712108.png,6.49,6.03,1.0
91319180,010447-720808.png,6.54,6.22,1.0
91319183,010557-713729.png,6.81,6.37,1.0
91319184,010619-715149.png,6.48,6.04,1.0
91319185,010713-715003.png,6.54,6.06,1.0
91319187,010854-720540.png,6.59,6.04,1.0
91319191,011055-721729.png,6.52,6.05,1.0
91319192,011132-714451.png,7.73,6.66,0.0
91319193,011151-715439.png,6.55,6.1,1.0
91319196,005653-721243.png,6.73,6.16,1.0
91319202,010240-721600.png,11.44,9.34,0.0
91319207,010426-713504.png,6.96,6.19,1.0
91319209,010509-721147.png,6.77,6.0,1.0
91319211,010527-713635.png,6.79,6.03,1.0
91319213,010537-715317.png,6.61,5.95,1.0
