subject_id,Filename,flag_rad_point,a,b,is_point
91319001,005527-721059.png,0.0,6.64,6.05,1.0
91319002,005614-714232.png,1.0,6.55,6.02,1.0
91319003,005922-721550.png,0.0,6.52,6.02,1.0
91319004,005935-720212.png,1.0,6.68,6.08,1.0
91319005,010046-722132.png,1.0,6.6,6.11,1.0
91319006,010405-724416.png,0.0,6.52,6.05,1.0
91319007,010436-722523.png,0.0,8.14,6.83,0.0
91319008,010630-713547.png,0.0,6.49,6.07,1.0
91319009,010726-721003.png,1.0,6.64,6.06,1.0
91319010,010753-720612.png,1.0,6.64,6.11,1.0
91319011,010819-714958.png,1.0,6.69,6.08,1.0
91319012,010830-714726.png,0.0,8.92,6.54,0.0
91319013,011001-713930.png,1.0,6.56,6.02,1.0
91319014,005518-714450.png,0.0,14.03,9.43,0.0
91319015,005523-721056.png,0.0,6.63,6.13,1.0
91319016,005738-715804.png,1.0,6.52,6.06,1.0
91319017,005758-715402.png,1.0,6.56,6.05,1.0
91319018,005804-720309.png,0.0,6.72,6.02,1.0
91319019,005821-722459.png,0.0,6.58,6.04,1.0
91319020,005912-715922.png,0.0,7.23,6.2,1.0
91319021,010001-712329.png,0.0,7.13,6.73,1.0
91319022,010055-720609.png,0.0,6.55,6.05,1.0
91319023,010102-720500.png,0.0,6.55,6.01,1.0
91319024,010107-721836.png,0.0,6.65,6.18,1.0
91319025,010107-722737.png,1.0,7.28,6.87,0.0
91319026,010110-715404.png,1.0,6.61,6.04,1.0
91319027,010116-714113.png,1.0,6.51,6.17,1.0
91319028,010123-721854.png,0.0,6.53,6.08,1.0
91319029,010304-721849.png,1.0,6.88,6.62,1.0
91319030,010329-715407.png,0.0,6.75,6.08,1.0
91319031,010354-721614.png,1.0,7.32,6.68,0.0
91319032,010448-715158.png,1.0,7.06,6.37,1.0
91319033,010619-714043.png,1.0,7.0,6.14,1.0
91319034,010648-714528.png,0.0,7.08,6.14,1.0
91319035,010708-712923.png,0.0,9.22,8.47,0.0
91319036,010756-712535.png,0.0,15.35,9.81,0.0
91319037,010806-713943.png,0.0,6.54,6.01,1.0
91319038,010811-714422.png,1.0,6.7,6.29,1.0
