,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
0,91319007,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8b5a3e1a-735c-4a64-b96a-328a2cb49fdc.png
1,91319012,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2c995749-220e-4e52-8262-585bd2e198a6.png
2,91319014,5.0,1.0,4.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c1142c41-ba92-4dd9-8469-a9773ab8b459.png
3,91319036,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ebbf7624-9aef-484b-b6a1-341652afea52.png
4,91319041,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/034525e2-12b2-443a-a835-93bc92000cbb.png
5,91319070,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/dd354bad-46c7-47d2-8392-695ebe39dfa2.png
6,91319071,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b91718be-8fbd-4dd2-a3ef-4b2f2c40a641.png
7,91319075,5.0,1.0,4.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e722a2b1-3ef0-46a2-94c1-37b26a1af446.png
8,91319078,5.0,1.0,4.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/41377e2b-13db-474f-ac8b-13c2712954dd.png
9,91319087,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a5113266-6907-4eb5-aa52-c368d9b03774.png
10,91319102,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f91865dc-8991-4e4f-a05e-8630397fad0e.png
11,91319114,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/531f92ee-2da2-4a2d-a0f8-568d2ef31c99.png
12,91319131,5.0,1.0,4.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bc50459f-ff86-431b-ba06-da5b12af8b6f.png
13,91319136,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/aa72d84f-23db-4eaa-874b-41ac312e140a.png
14,91319153,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/757b914a-fdc6-4173-a936-a3084e754d37.png
15,91319174,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fce8fae1-1aa4-4eec-bc39-a6ddc96bfe5a.png
16,91319216,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/cf79d6cb-c788-4ddf-95fa-cef19b5599f9.png
17,91319224,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1d0944e2-f702-4720-a516-b8a9db813bed.png
18,91319225,5.0,1.0,4.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/09b7271a-821b-4eb3-a1f4-affa34d5c7f4.png
19,91319226,5.0,1.0,4.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/db419063-3973-468b-b8d5-f14c91b07ec9.png
20,91319230,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1b7d9587-bdd2-44a6-bf60-1902302c92da.png
21,91319245,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/07fbc657-c219-4b22-b886-aba03c5ec319.png
22,91319248,5.0,0.0,5.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/fb92d6de-5e0a-45f7-8fc4-12ac485f7b56.png
23,91319249,5.0,1.0,4.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e942dcbd-cc9e-4840-bdba-c5c66c6da44e.png
24,91319259,5.0,1.0,4.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2eead03e-2e9c-47ae-859c-0ca19c0aeb15.png
25,91319283,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/34c136c0-d2ed-4570-9db2-ecb07193bf79.png
26,91319287,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3e1d7d22-9447-4819-9bff-dc3dc00d3c52.png
27,91319306,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3a8922a9-4788-4f5a-8627-c56d0282f277.png
28,91319315,6.0,1.0,5.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/0e327b85-229e-420e-9c2c-0b368bc75720.png
