,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
0,91319002,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/673a4e8f-5cee-44e7-bbc1-8a028d95456f.png
1,91319004,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e765ef98-6323-4e48-bc71-cec32dd64401.png
2,91319005,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/7bf1ddd8-4768-4f65-af3d-0328c4077185.png
3,91319009,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/39267c21-11cc-4ad9-a1d6-2e4afb68992a.png
4,91319010,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b1ccd2e1-0b75-4158-bb2d-d380c77800b8.png
5,91319011,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d4cebd29-3d83-4946-8a90-184fd7a425ac.png
6,91319013,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/355b0035-256f-4562-9c6c-4753725b8e6d.png
7,91319016,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a32ebc1c-a51b-447f-8137-e07f47654e13.png
8,91319017,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fec4ed75-6503-46a0-a89d-91cc203f1b47.png
9,91319025,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0975bc55-d60d-4b7a-9268-d6dc9c14d12d.png
10,91319026,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/de872b77-67c8-41cb-a6ef-07dcfd52bc69.png
11,91319027,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/adf46c60-581c-4566-a397-7915d2993c41.png
12,91319029,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fbf7698d-df19-4639-8d1d-084525a10ae9.png
13,91319031,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d82efb97-e609-4c64-aba2-a5d9e46db23d.png
14,91319032,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c4bc4b14-4f60-4dc4-a2c8-f1693572ee81.png
15,91319033,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/eccb639f-83b9-45f0-9f44-d5c0da9df17d.png
16,91319038,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1a9255ce-c7b0-4f34-aa43-6ead13f84584.png
17,91319039,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/eb03e303-2d9d-4a5e-9673-74eb7cdad6b7.png
18,91319040,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6712d47a-f52f-4d7b-b9f0-e49f54cd8c13.png
19,91319048,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/43d72860-2898-459d-9f7b-ab63b2668310.png
20,91319050,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c7ea3a3b-0f4a-4d0b-b442-435713346e42.png
21,91319051,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8300d55a-89cc-49fe-ab58-6c3851b05d9e.png
22,91319060,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2d37f501-6aac-4d80-9cb6-87942d219529.png
23,91319064,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8bfb0e84-f410-4a08-8c7c-02bd227c7580.png
24,91319065,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/7650eff2-fa3e-47bc-8909-7a316dba0649.png
25,91319069,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a2ca5efc-f154-4419-abc8-5f040812ed42.png
26,91319072,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8fd14ee0-9db4-4d7d-955e-acd6fcfeee83.png
27,91319074,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2a2ae378-107d-470b-b900-d8ac5fce8a84.png
28,91319079,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1a37f8c0-ad2c-404a-8a83-545514cf531c.png
29,91319082,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ff29cd44-2d2b-48eb-9eb9-2588f132e77d.png
30,91319083,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/39453802-fe52-4900-b552-70ef44ab2ba1.png
31,91319086,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/871abf39-271b-422e-b958-7a3ef621865d.png
32,91319088,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fd70380f-1798-407a-841f-ab4eb203dd89.png
33,91319090,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/77d5e9c6-574c-4c20-a17c-cf7646b60919.png
34,91319091,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/51668b6a-0e75-40cc-996c-a15f715c93ea.png
35,91319096,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/9cf64234-1f99-4b85-9aac-97cd90ba0256.png
