,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
0,91319001,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bc620e00-a2d8-45c4-a159-5dc827bf6249.png
1,91319015,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/013e5a7a-5367-44f5-ae08-9c0220438fbd.png
2,91319021,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4e856fda-7ea0-44fb-9009-6749350b9562.png
3,91319024,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6dbe6d6a-ca18-4650-82c5-39c7abc4026a.png
4,91319037,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b6a3e11f-53b7-4bfb-8727-a92ff9c0df2a.png
5,91319042,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/cd4e5f0b-7f15-43ea-9a54-6fc81e076353.png
6,91319043,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1f69d6be-ed72-4857-a9dc-406f90eb1275.png
7,91319045,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/12971365-8323-4971-9c9d-a65b0fd4841d.png
8,91319052,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4a9a2ef4-10be-4f6c-9338-f73c1f48e33f.png
9,91319054,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/489c0ddf-5e3c-4c5d-a6d1-80daefdf8af5.png
10,91319056,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/f1aa6204-4859-43b3-a6e4-a2cd746e5cb3.png
11,91319057,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/97905f1c-2605-4413-a1db-0a34d5806171.png
12,91319059,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c394efd1-7598-4ac5-99c9-99df6d46a6a7.png
13,91319076,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/41eaa879-7e4d-4548-b72d-2cdf7ed90c0f.png
14,91319080,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a0dfa3c9-d980-49be-830d-f10b803bd91d.png
15,91319081,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fb0b5b9f-008c-421d-b808-0126fedb862f.png
16,91319089,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/faccc4ca-4acb-4e14-82be-4a4c6d97fc79.png
17,91319094,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/25e89273-b729-428a-925e-0556f6521967.png
18,91319109,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ae86e352-7004-4143-8123-880f7fb09bd2.png
19,91319112,6.0,4.0,2.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/ed081cd9-a84c-437f-88e0-6ba99c4347fc.png
20,91319116,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/798d3161-69d4-41f2-a23e-7debe3686cbc.png
21,91319128,6.0,5.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/7d8dbbdd-677c-4787-91bf-eea88898ab9c.png
22,91319134,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6d74d934-1b6b-464d-b1ec-7d840e5fa0c5.png
23,91319162,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d9730c20-2954-461a-ba82-2a446c93315a.png
24,91319169,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e9fb12d9-a92a-45fc-ba21-5d22d1ebd6ca.png
25,91319186,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8e63025d-07e9-4284-ab9e-16f4c684a055.png
26,91319189,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/31f80dc7-ed46-4a5d-a7af-279f76a80ba5.png
27,91319198,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e3f469af-e6e3-4373-9f3e-0f33ebdf3f9c.png
28,91319212,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/83119347-2899-4c08-87c0-79948b56f16d.png
29,91319221,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/183ab6fd-4e3a-4148-9e2a-5f2a1be2646f.png
30,91319237,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/98d28a79-fd90-4396-9012-6320d34e8543.png
31,91319241,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bfff9890-6b00-477b-87e2-7174cd2b9a04.png
32,91319246,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e65284e9-0a1c-4b54-bff4-6ceeb4f19bac.png
33,91319250,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4909e651-410c-4a9e-9695-a131ba61ba28.png
34,91319253,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/999a9b33-0f37-499a-be0f-297a763fc0d5.png
35,91319254,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ace45d46-fcec-4714-a317-4c27963f1042.png
36,91319257,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f0e21b61-f6aa-4624-b9c3-c2e73f932bfc.png
37,91319265,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1f7f67fa-9794-4724-872d-4ff45958a1ee.png
38,91319267,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a8f79617-2fc0-4f4c-bb58-1158f1fa86f8.png
39,91319273,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0baf9fe9-1894-4e6d-aaab-a460a9c170f7.png
40,91319279,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f87146cd-2e7e-44a8-b2d3-a38654f8bfcd.png
41,91319280,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c4655236-4bb6-43bf-b08f-b1ac51f586bd.png
42,91319286,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/e01a3381-a54d-4d29-a907-050de99c61ba.png
43,91319299,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/daac026a-1d49-4c43-a532-f9b579c7695a.png
44,91319301,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/4fff85b0-d9d1-471e-afc7-cdabbe1b1585.png
45,91319307,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b7cbc1c3-936d-4985-b76e-b526e708ef7b.png
46,91319310,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b89d1ce9-8523-4b3d-9a12-b3c385454558.png
47,91319325,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1705cb2b-8231-4a2d-bf39-ffc9694729a8.png
48,91319327,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0b6d7d36-4c25-41f4-9119-59db1b54e66b.png
49,91319340,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/627d953f-6399-417a-8649-b1a8fbb32322.png
50,91319342,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d4b96fc4-128d-4294-b5ef-c27514857439.png
51,91319344,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/48584e38-0164-4af8-bd3c-32ee9fb8cc4b.png
52,91319361,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f0cd399f-ef7a-4608-807a-3636db6dc9e8.png
53,91319367,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bfd7f59c-2567-4806-b6f0-de50e371b097.png
54,91319382,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c2f1324d-0d6c-4df4-a73f-6cc27f54c16f.png
55,91319415,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8d526e7e-4ae7-46bf-922f-ae86a16c2a8c.png
56,91319435,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bedd355b-6aef-46ea-b5c2-537917ad04bf.png
57,91319446,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f893dc97-fe4c-4d05-a0ca-4c3552c7dd1a.png
58,91319452,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/805cebef-2051-488e-bec0-e5d3f0ca110a.png
59,91319462,5.0,5.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/a31086c0-017d-4c04-a81b-599d59eacb25.png
