,subject_id,Keep,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl,keep
0,91319001,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bc620e00-a2d8-45c4-a159-5dc827bf6249.png,1
1,91319021,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4e856fda-7ea0-44fb-9009-6749350b9562.png,1
2,91319024,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6dbe6d6a-ca18-4650-82c5-39c7abc4026a.png,1
3,91319037,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b6a3e11f-53b7-4bfb-8727-a92ff9c0df2a.png,1
4,91319045,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/12971365-8323-4971-9c9d-a65b0fd4841d.png,1
5,91319052,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4a9a2ef4-10be-4f6c-9338-f73c1f48e33f.png,1
6,91319054,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/489c0ddf-5e3c-4c5d-a6d1-80daefdf8af5.png,1
7,91319056,1,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/f1aa6204-4859-43b3-a6e4-a2cd746e5cb3.png,1
8,91319059,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c394efd1-7598-4ac5-99c9-99df6d46a6a7.png,1
9,91319076,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/41eaa879-7e4d-4548-b72d-2cdf7ed90c0f.png,1
10,91319080,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a0dfa3c9-d980-49be-830d-f10b803bd91d.png,1
