classification_id,workflow_id,task,created_at,subject_id,extractor,data.aggregation_version,data.frame0.T4_tool0_x,data.frame0.T4_tool0_y
491776880,24257,T4,2023-05-24 11:19:49 UTC,89072767,point_extractor_by_frame,4.1.0,,
491776990,24257,T4,2023-05-24 11:21:15 UTC,89072797,point_extractor_by_frame,4.1.0,"[188.75, 277.75, 292.75]","[357.9666748046875, 235.9666748046875, 192.9666748046875]"
491777034,24257,T4,2023-05-24 11:21:57 UTC,89072718,point_extractor_by_frame,4.1.0,"[302.75, 483.75]","[404.9666748046875, 223.9666748046875]"
491777059,24257,T4,2023-05-24 11:22:12 UTC,89072773,point_extractor_by_frame,4.1.0,,
491777146,24257,T4,2023-05-24 11:22:52 UTC,89072771,point_extractor_by_frame,4.1.0,"[172.75, 305.75, 442.75]","[184.9666748046875, 353.9666748046875, 538.9666748046875]"
491777186,24257,T4,2023-05-24 11:23:20 UTC,89072711,point_extractor_by_frame,4.1.0,[179.75],[68.96666717529297]
491997880,24257,T4,2023-05-25 10:51:48 UTC,89072799,point_extractor_by_frame,4.1.0,"[285.2425537109375, 589.2012329101562, 101.09242248535156, 681.2763061523438]","[291.0163879394531, 135.7090301513672, 368.6700439453125, 481.8225402832031]"
491997946,24257,T4,2023-05-25 10:52:13 UTC,89072713,point_extractor_by_frame,4.1.0,,
491998061,24257,T4,2023-05-25 10:53:12 UTC,89072783,point_extractor_by_frame,4.1.0,"[594.7479248046875, 655.761474609375]","[417.4809265136719, 299.8910827636719]"
491998123,24257,T4,2023-05-25 10:53:45 UTC,89072781,point_extractor_by_frame,4.1.0,[186.51145935058594],[393.07550048828125]
491998249,24257,T4,2023-05-25 10:54:43 UTC,89072709,point_extractor_by_frame,4.1.0,,
491998368,24257,T4,2023-05-25 10:55:30 UTC,89072795,point_extractor_by_frame,4.1.0,,
491998576,24257,T4,2023-05-25 10:56:52 UTC,89072762,point_extractor_by_frame,4.1.0,[621.3720092773438],[149.02108764648438]
491998665,24257,T4,2023-05-25 10:57:38 UTC,89072801,point_extractor_by_frame,4.1.0,"[580.3265380859375, 398.3950500488281]","[150.13043212890625, 227.7841033935547]"
