subject_id,workflow_id,task,reducer,data.aggregation_version,data.frame0.T4_tool0_points_x,data.frame0.T4_tool0_points_y,data.frame0.T4_tool0_cluster_labels,data.frame0.T4_tool0_clusters_count,data.frame0.T4_tool0_clusters_x,data.frame0.T4_tool0_clusters_y,data.frame0.T4_tool0_clusters_var_x,data.frame0.T4_tool0_clusters_var_y,data.frame0.T4_tool0_clusters_var_x_y
89072700,24257,T4,point_reducer_dbscan,4.1.0,[81.75],[155.9666748046875],[-1],,,,,,
89072701,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072704,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072705,24257,T4,point_reducer_dbscan,4.1.0,"[361.7868957519531, 368.44293212890625]","[311.4281921386719, 364.8982849121094]","[-1, -1]",,,,,,
89072706,24257,T4,point_reducer_dbscan,4.1.0,[10.126690864562988],[185.62925720214844],[-1],,,,,,
89072708,24257,T4,point_reducer_dbscan,4.1.0,[30.094778060913086],[379.763427734375],[-1],,,,,,
89072709,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072710,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072711,24257,T4,point_reducer_dbscan,4.1.0,[179.75],[68.96666717529297],[-1],,,,,,
89072712,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072713,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072714,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072715,24257,T4,point_reducer_dbscan,4.1.0,[83.75],[129.9666748046875],[-1],,,,,,
89072716,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072717,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072718,24257,T4,point_reducer_dbscan,4.1.0,"[302.75, 483.75]","[404.9666748046875, 223.9666748046875]","[-1, -1]",,,,,,
89072719,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072720,24257,T4,point_reducer_dbscan,4.1.0,"[629.1373901367188, 713.4470825195312]","[203.378662109375, 465.1824645996094]","[-1, -1]",,,,,,
89072722,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072726,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072728,24257,T4,point_reducer_dbscan,4.1.0,"[165.4340362548828, 52.28153991699219, 231.99432373046875]","[11.46316146850586, 532.8521118164062, 414.1529235839844]","[-1, -1, -1]",,,,,,
89072729,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072730,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072734,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072736,24257,T4,point_reducer_dbscan,4.1.0,"[360.75, 391.75, 343.75, 429.75]","[362.9666748046875, 391.9666748046875, 444.9666748046875, 315.9666748046875]","[-1, -1, -1, -1]",,,,,,
89072737,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072738,24257,T4,point_reducer_dbscan,4.1.0,"[364.75, 385.75]","[360.9666748046875, 301.9666748046875]","[-1, -1]",,,,,,
89072739,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072740,24257,T4,point_reducer_dbscan,4.1.0,"[365.75, 394.75]","[359.9666748046875, 401.9666748046875]","[-1, -1]",,,,,,
89072741,24257,T4,point_reducer_dbscan,4.1.0,"[364.75, 318.75]","[361.9666748046875, 442.9666748046875]","[-1, -1]",,,,,,
89072743,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072744,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072745,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072746,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072747,24257,T4,point_reducer_dbscan,4.1.0,[712.3377685546875],[90.2261734008789],[-1],,,,,,
89072748,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072750,24257,T4,point_reducer_dbscan,4.1.0,"[235.3223419189453, 712.3377685546875]","[55.83668899536133, 610.5057983398438]","[-1, -1]",,,,,,
89072754,24257,T4,point_reducer_dbscan,4.1.0,"[387.75, 366.75, 344.75]","[322.9666748046875, 363.9666748046875, 349.9666748046875]","[-1, -1, -1]",,,,,,
