classification_id,workflow_id,task,created_at,subject_id,extractor,data.yes,data.aggregation_version,data.gas-like-region-weirdly-shaped,data.no,data.diffuse-non-central-blob,data.galaxy-like,data.diffuse-non-central-source,data.very-opaque-emission-source,data.gas-like-region-weirdly-shaped-central-or-not,data.multiple-sources-inside,data.point-source-or-star-like,data.None,data.radio-point-source,data.homogeneously-diffuse-source,data.radio-source-showing-extended-morphology,data.oddly-shaped-not-sure,data.bright-core-source-becomes-radially-diffuse,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,data.yes-it-looks-like-a-radio-point-source,data.the-radio-source-is-showing-extended-morphology,data.multiple-sources-png-https-panoptes-uploads-zooniverse-org-project-attached-image-dfaf96b9-6480-413e-9cde-c5a4cb46c5c7-png-multiple-sources-inside,data.homogenously-diffuse-png-https-panoptes-uploads-zooniverse-org-project-attached-image-1d169b37-43ad-47de-980f-e8a5a08b1676-png-homogeneously-diffuse-source,data.bright-core-radial-diffuse-png-https-panoptes-uploads-zooniverse-org-project-attached-image-b80f4e7c-8d77-4cf1-8bb2-c8f24af80628-png-bright-core-in-diffuse-emission,data.point-source-png-https-panoptes-uploads-zooniverse-org-project-attached-image-e813946d-52b9-484e-b818-6c7f632ad6d3-png-point-source-or-star-like,data.oddly-shaped-png-https-panoptes-uploads-zooniverse-org-project-attached-image-b76c4bc8-ddab-4366-9a6c-9c7524ecc2ad-png-oddly-shaped-not-sure
491776880,24257,T0,2023-05-24 11:19:49 UTC,89072767,question_extractor,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491776880,24257,T3,2023-05-24 11:19:49 UTC,89072767,question_extractor,,4.1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
491776880,24257,T5,2023-05-24 11:19:49 UTC,89072767,question_extractor,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491776880,24257,T6,2023-05-24 11:19:49 UTC,89072767,question_extractor,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491776990,24257,T0,2023-05-24 11:21:15 UTC,89072797,question_extractor,,4.1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
491776990,24257,T3,2023-05-24 11:21:15 UTC,89072797,question_extractor,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491776990,24257,T5,2023-05-24 11:21:15 UTC,89072797,question_extractor,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491776990,24257,T6,2023-05-24 11:21:15 UTC,89072797,question_extractor,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491777034,24257,T0,2023-05-24 11:21:57 UTC,89072718,question_extractor,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
491777034,24257,T3,2023-05-24 11:21:57 UTC,89072718,question_extractor,,4.1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
