subject_id,workflow_id,task,reducer,data.yes,data.aggregation_version,data.point-source-or-star-like,data.radio-source-showing-extended-morphology,data.oddly-shaped-not-sure,data.bright-core-source-becomes-radially-diffuse,data.radio-point-source,data.no,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.multiple-sources-inside,data.gas-like-region-weirdly-shaped-central-or-not,data.yes-it-looks-like-a-radio-point-source,data.homogeneously-diffuse-source,data.None,data.diffuse-non-central-blob,data.no-nearby-marked-regions-seem-associated-with-the-central-source,data.diffuse-non-central-source,data.gas-like-region-weirdly-shaped,data.galaxy-like,data.very-opaque-emission-source,data.multiple-sources-png-https-panoptes-uploads-zooniverse-org-project-attached-image-dfaf96b9-6480-413e-9cde-c5a4cb46c5c7-png-multiple-sources-inside,data.homogenously-diffuse-png-https-panoptes-uploads-zooniverse-org-project-attached-image-1d169b37-43ad-47de-980f-e8a5a08b1676-png-homogeneously-diffuse-source,data.oddly-shaped-png-https-panoptes-uploads-zooniverse-org-project-attached-image-b76c4bc8-ddab-4366-9a6c-9c7524ecc2ad-png-oddly-shaped-not-sure,data.bright-core-radial-diffuse-png-https-panoptes-uploads-zooniverse-org-project-attached-image-b80f4e7c-8d77-4cf1-8bb2-c8f24af80628-png-bright-core-in-diffuse-emission,data.point-source-png-https-panoptes-uploads-zooniverse-org-project-attached-image-e813946d-52b9-484e-b818-6c7f632ad6d3-png-point-source-or-star-like
89072700,24257,T0,question_reducer,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072700,24257,T3,question_reducer,,4.1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
89072700,24257,T5,question_reducer,,4.1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
89072700,24257,T6,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072701,24257,T0,question_reducer,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072701,24257,T3,question_reducer,,4.1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
89072701,24257,T5,question_reducer,,4.1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
89072701,24257,T6,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072704,24257,T0,question_reducer,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072704,24257,T3,question_reducer,,4.1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
89072704,24257,T5,question_reducer,,4.1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
89072704,24257,T6,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072705,24257,T0,question_reducer,,4.1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
89072705,24257,T3,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072705,24257,T5,question_reducer,,4.1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
89072705,24257,T6,question_reducer,,4.1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
89072706,24257,T0,question_reducer,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072706,24257,T3,question_reducer,,4.1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
89072706,24257,T5,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072706,24257,T6,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072708,24257,T0,question_reducer,1.0,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
89072708,24257,T3,question_reducer,,4.1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
89072708,24257,T5,question_reducer,,4.1.0,,,,,,,,,,,,,,,,,,,,,,,,
