Seq,Vmag,SNR
1,17.37,23
2,17.24,29
3,16.41,60
4,16.81,35
5,15.93,63
6,17.92,46
7,15.16,60
8,17.23,38
9,14.99,60
10,14.63,44
11,17.21,31
12,16.66,49
13,15.14,92
14,15.56,85
15,16.25,40
16,15.55,49
17,17.30,34
18,16.63,30
19,16.53,32
20,17.63,26
21,17.12,28
22,16.44,38
23,17.33,54
24,17.82,27
25,16.04,65
26,16.43,49
27,17.01,69
28,16.44,47
29,15.23,86
30,17.49,32
31,15.84,70
32,16.38,55
33,15.46,91
34,15.14,82
35,16.94,53
36,16.09,62
37,15.39,80
38,17.79,43
39,17.86,32
40,18.48,26
41,13.93,116
42,18.38,29
43,15.07,112
44,15.22,89
45,17.28,72
46,15.32,95
47,17.38,38
48,17.13,24
49,15.31,92
50,18.00,32
51,16.68,59
52,18.07,26
53,16.82,58
54,17.66,32
55,14.75,94
56,16.33,54
57,17.47,32
58,15.51,88
59,17.18,34
60,16.44,60
61,15.70,45
62,17.62,31
63,15.03,113
64,17.56,39
65,17.53,40
66,16.88,41
67,16.79,58
68,15.43,104
69,16.30,63
70,15.03,104
71,17.14,38
72,15.93,74
73,17.56,29
74,17.33,36
75,17.55,28
76,16.15,92
77,17.67,24
78,17.63,30
79,17.95,31
80,16.58,49
81,17.73,34
82,17.71,39
83,17.19,62
84,16.02,49
85,17.45,26
86,16.75,48
87,15.00,32
88,17.76,31
89,17.02,42
90,18.11,27
91,16.83,39
92,15.43,29
93,16.23,47
94,16.69,51
95,17.70,37
96,17.45,43
97,17.63,50
98,16.30,53
99,16.39,49
100,17.82,23
101,16.13,58
102,16.56,40
104,17.46,47
105,15.05,88
106,15.57,66
107,16.59,47
108,15.96,53
109,16.14,40
110,17.90,24
111,15.34,40
112,15.85,48
113,15.81,35
114,15.47,48
115,16.78,53
116,17.85,24
117,15.37,43
118,16.89,35
119,17.07,39
120,16.69,32
121,16.31,36
122,17.78,27
123,17.98,23
124,17.68,27
125,17.56,38
126,16.17,35
127,16.49,52
128,18.23,22
129,16.35,47
130,18.09,27
131,17.59,37
132,18.37,25
133,15.02,55
134,17.60,39
135,17.55,36
136,16.99,40
137,17.66,30
138,16.37,53
139,15.48,52
140,17.58,31
141,17.95,28
142,15.82,57
143,17.65,34
144,15.65,55
145,15.28,70
146,16.09,45
147,17.66,25
148,17.15,34
149,16.78,47
150,17.08,32
151,16.17,52
152,17.25,31
153,15.73,45
154,18.15,25
155,17.79,27
156,15.78,45
157,15.74,49
158,15.82,53
159,17.66,24
160,16.33,56
161,17.07,30
162,17.61,28
163,16.43,55
164,15.81,38
165,17.26,41
166,15.27,58
167,15.35,57
168,18.21,24
169,17.85,26
170,17.20,30
171,17.47,22
172,17.58,22
173,17.12,22
174,16.65,43
175,15.02,50
176,15.37,27
177,17.84,26
178,17.00,25
179,17.42,28
180,15.67,57
181,16.32,35
182,16.82,26
183,15.86,63
