ra,dec
17.582802,-72.0598637
15.4081703,-71.9046781
21.211556,-73.9610701
15.7404255,-72.5293821
20.743993,-73.9912741
14.8905845,-72.3471657
15.9746236,-72.1407864
16.9009284,-72.5801431
15.2424712,-71.591648
21.1461735,-73.6320735
16.8422197,-71.8270762
17.1674757,-71.98048
16.0663228,-71.8231777
14.8174765,-72.0335551
16.1220372,-71.7655661
21.6706362,-72.9943668
21.2271758,-73.6426179
17.2279777,-72.2022268
14.6789699,-72.4548794
16.5067043,-72.0600818
19.9841593,-73.3649587
22.795295,-73.388454
15.5499582,-71.8141854
14.5497326,-71.4672211
21.9913601,-73.3758752
22.4039475,-73.676503
14.329691,-72.5505531
21.0497034,-74.0425122
15.5053235,-72.3720691
17.5634619,-72.0366202
21.2846559,-73.7705797
16.5628065,-72.3301482
23.1276066,-73.2103867
15.0252231,-71.9519192
16.1349448,-72.0788775
15.927851,-72.3503138
15.8686522,-72.4973248
16.3782717,-72.2839151
15.5346229,-72.1135376
14.3866958,-72.2174405
16.0300541,-71.6117173
