pickles_1.fits,O5V
pickles_2.fits,O9V
pickles_3.fits,B0V
pickles_4.fits,B1V
pickles_5.fits,B3V
pickles_6.fits,B57V
pickles_7.fits,B8V
pickles_8.fits,B9V
pickles_9.fits,A0V
pickles_10.fits,A2V
pickles_11.fits,A3V
pickles_12.fits,A5V
pickles_13.fits,A7V
pickles_14.fits,F0V
pickles_15.fits,F2V
pickles_16.fits,F5V
pickles_17.fits,wF5V
pickles_18.fits,F6V
pickles_19.fits,rF6V
pickles_20.fits,F8V
pickles_21.fits,wF8V
pickles_22.fits,rF8V
pickles_23.fits,G0V
pickles_24.fits,wG0V
pickles_25.fits,rG0V
pickles_26.fits,G2V
pickles_27.fits,G5V
pickles_28.fits,wG5V
pickles_29.fits,rG5V
pickles_30.fits,G8V
pickles_31.fits,K0V
pickles_32.fits,rK0V
pickles_33.fits,K2V
pickles_34.fits,K3V
pickles_35.fits,K4V
pickles_36.fits,K5V
pickles_37.fits,K7V
pickles_38.fits,M0V
pickles_39.fits,M1V
pickles_40.fits,M2V
pickles_41.fits,M2.5V
pickles_42.fits,M3V
pickles_43.fits,M4V
pickles_44.fits,M5V
pickles_45.fits,M6V
pickles_46.fits,B2IV
pickles_47.fits,B6IV
pickles_48.fits,A0IV
pickles_49.fits,A47IV
pickles_50.fits,F02IV
pickles_51.fits,F5IV
pickles_52.fits,F8IV
pickles_53.fits,G0IV
pickles_54.fits,G2IV
pickles_55.fits,G5IV
pickles_56.fits,G8IV
pickles_57.fits,K0IV
pickles_58.fits,K1IV
pickles_59.fits,K3IV
pickles_60.fits,O8III
pickles_61.fits,B12III
pickles_62.fits,B3III
pickles_63.fits,B5III
pickles_64.fits,B9III
pickles_65.fits,A0III
pickles_66.fits,A3III
pickles_67.fits,A5III
pickles_68.fits,A7III
pickles_69.fits,F0III
pickles_70.fits,F2III
pickles_71.fits,F5III
pickles_72.fits,G0III
pickles_73.fits,G5III
pickles_74.fits,wG5III
pickles_75.fits,rG5III
pickles_76.fits,G8III
pickles_77.fits,wG8III
pickles_78.fits,K0III
pickles_79.fits,wK0III
pickles_80.fits,rK0III
pickles_81.fits,K1III
pickles_82.fits,wK1III
pickles_83.fits,rK1III
pickles_84.fits,K2III
pickles_85.fits,wK2III
pickles_86.fits,rK2III
pickles_87.fits,K3III
pickles_88.fits,wK3III
pickles_89.fits,rK3III
pickles_90.fits,K4III
pickles_91.fits,wK4III
pickles_92.fits,rK4III
pickles_93.fits,K5III
pickles_94.fits,rK5III
pickles_95.fits,M0III
pickles_96.fits,M1III
pickles_97.fits,M2III
pickles_98.fits,M3III
pickles_99.fits,M4III
pickles_100.fits,M5III
pickles_101.fits,M6III
pickles_102.fits,M7III
pickles_103.fits,M8III
pickles_104.fits,M9III
pickles_105.fits,M10III
pickles_106.fits,B2II
pickles_107.fits,B5II
pickles_108.fits,F0II
pickles_109.fits,F2II
pickles_110.fits,G5II
pickles_111.fits,K01II
pickles_112.fits,K34II
pickles_113.fits,M3II
pickles_114.fits,B0I
pickles_115.fits,B1I
pickles_116.fits,B3I
pickles_117.fits,B5I
pickles_118.fits,B8I
pickles_119.fits,A0I
pickles_120.fits,A2I
pickles_121.fits,F0I
pickles_122.fits,F5I
pickles_123.fits,F8I
pickles_124.fits,G0I
pickles_125.fits,G2I
pickles_126.fits,G5I
pickles_127.fits,G8I
pickles_128.fits,K2I
pickles_129.fits,K3I
pickles_130.fits,K4I
pickles_131.fits,M2I
